match_dob,match_aadhaar,match_pan,eligible
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,False,True,0
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,False,True,0
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
False,False,True,0
True,True,True,1
True,False,True,0
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,False,True,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,False,0
False,True,True,0
True,False,True,0
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,False,0
True,True,True,1
True,True,False,0
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,False,True,0
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,False,0
True,True,False,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
False,True,True,0
False,True,True,0
True,False,True,0
True,True,True,1
True,False,True,0
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,False,False,0
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,False,True,0
True,True,False,0
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,False,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,False,0
True,True,True,1
True,True,False,0
True,True,True,1
True,False,True,0
True,False,True,0
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,False,True,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
False,True,True,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,False,0
True,False,True,0
False,True,True,0
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
False,True,True,0
True,True,False,0
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
True,True,False,0
False,True,True,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
False,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,False,0
True,True,False,0
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,False,0
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,False,False,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,False,0
True,True,False,0
True,False,True,0
True,True,True,1
True,True,False,0
True,True,False,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
False,False,True,0
False,True,True,0
False,True,True,0
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,False,True,0
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,False,True,0
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,False,False,0
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,True,True,1
False,False,True,0
True,True,False,0
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,False,True,0
True,True,False,0
False,True,True,0
False,True,True,0
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
False,True,True,0
True,True,True,1
True,True,True,1
True,True,True,1
False,True,True,0
True,True,False,0
True,True,True,1
True,True,True,1
True,True,False,0
True,True,False,0
True,True,True,1
True,True,False,0
True,True,True,1
True,False,True,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,False,0
True,True,True,1
True,True,True,1
True,True,True,1
True,True,True,1
